author_id,slot_count
720,27
617,24
629,24
856,23
659,21
862,19
925,18
918,17
702710,15
836,15
605,13
998,13
731,12
591,10
1294,10
651,10
621,10
963,9
702708,9
697,8
625,8
624,8
593,8
614,8
1063,7
703150,7
734,7
602,7
870,7
748,7
652,6
933,6
594,6
616,6
823,6
771,5
606,5
835,5
777,4
716,4
607,4
780,4
928,4
702765,4
626,4
959,4
1321,4
924,4
705159,4
603,4
1350,4
1092,3
1293,3
940,3
702736,3
635,3
817,3
704,3
805,3
809,3
615,3
702715,3
920,2
738,2
702774,2
703420,2
705320,2
1035,2
1353,2
702766,2
1577,2
910,2
888,2
1003,2
1118,2
783,2
1190,2
803,2
1251,2
1330,2
927,2
1419,2
702864,2
704326,2
807,2
601,2
1005,2
1513,2
1327,2
774,2
608,2
595,2
852,2
786,2
838,1
740328,1
702731,1
1150,1
1349,1
997118,1
685,1
987564,1
1518,1
703073,1
1214,1
967,1
980,1
649,1
717583,1
702835,1
1285,1
703137,1
702836,1
1001,1
717597,1
620,1
705332,1
703337,1
1457,1
1315,1
1552,1
1043,1
1102,1
703425,1
703162,1
867,1
748505,1
703178,1
715,1
702858,1
1346,1
1310,1
848,1
619,1
705510,1
655,1
987830,1
748725,1
717580,1
917,1
743,1
1200,1
1018,1
1610,1
703740,1
703139,1
1088,1
1467,1
894,1
1454,1
842,1
1071,1
837,1
641,1
790,1
1024,1
646,1
905,1
1103,1
1126,1
703068,1
1086,1
979,1
703308,1
715355,1
703627,1
797,1
826,1
954,1
