author_id,slot_count
629,25
621,22
617,20
625,15
626,14
659,13
720,13
823,13
998,12
963,10
862,10
856,9
918,8
748,8
614,7
591,7
602,7
809,7
601,6
927,6
959,6
836,6
835,6
637,6
652,6
624,5
702765,5
1102,5
641,5
771,5
881,5
603,5
616,5
697,5
777,4
728,4
593,4
1346,4
1071,4
605,4
770,4
780,4
702708,4
1251,4
1294,4
646,4
702710,4
933,4
703685,4
643,4
980,4
791,4
731,4
774,4
655,3
873,3
902,3
702715,3
595,3
842,3
702736,3
1353,3
738,3
910,3
702864,3
870,3
813,3
924,2
702768,2
685,2
702721,2
651,2
1035,2
1005,2
807,2
702848,2
852,2
705159,2
623,2
1092,2
1040,2
929,2
666,2
915,2
702858,2
1543,2
702726,2
912,2
829,2
786,2
1103,2
1049,2
703068,2
746,2
849,2
812,2
702738,2
649,2
702774,2
1003,2
703420,2
817,2
867,2
715,2
704,2
702766,2
594,2
798,2
803,2
756475,2
917,2
1298,2
703139,2
925,2
703876,1
1478,1
1100,1
748505,1
833,1
1321,1
1086,1
979,1
1126,1
1357,1
997805,1
703425,1
1043,1
864,1
839,1
673,1
702843,1
703627,1
704187,1
1293,1
1292,1
797,1
1084,1
826,1
1019,1
702707,1
995886,1
960,1
776827,1
600,1
947,1
748004,1
1088,1
705320,1
885,1
1350,1
590,1
979579,1
704326,1
702836,1
1454,1
717597,1
816,1
716,1
702875,1
704544,1
703988,1
773605,1
702731,1
1143,1
631,1
635,1
1315,1
717601,1
1017,1
764329,1
1552,1
702835,1
921,1
717583,1
778,1
702871,1
784,1
703445,1
703442,1
702904,1
704325,1
701,1
954504,1
1337,1
1513,1
1351,1
967,1
1342,1
848,1
783,1
702826,1
1119,1
1214,1
702776,1
678,1
888,1
1411,1
943,1
704315,1
757377,1
734,1
638,1
704530,1
1330,1
1547,1
988731,1
1078,1
630,1
1343,1
696,1
997118,1
717580,1
647,1
704199,1
832,1
1160,1
1200,1
1018,1
980404,1
748725,1
695,1
1577,1
987830,1
1118,1
989685,1
1002371,1
940,1
712661,1
618,1
1327,1
608,1
596,1
1310,1
1393,1
793,1
905,1
758533,1
702722,1
855,1
1044,1
838,1
1063,1
1141,1
805,1
