author_id,slot_count
629,19
621,16
626,15
625,13
823,11
617,10
637,10
963,9
809,9
998,9
659,9
614,9
836,7
835,7
643,7
652,7
748,7
771,6
1346,6
881,6
601,6
959,6
980,6
862,6
813,6
849,5
856,5
602,5
720,5
591,5
616,5
929,5
927,5
777,5
1003,4
647,4
738,4
770,4
593,4
811,4
910,4
603,4
641,4
833,4
791,4
873,3
842,3
1071,3
1102,3
870,3
715,3
1049,3
702766,3
848,3
702736,3
798,3
774,3
803,3
1251,3
917,3
877,3
607,3
728,3
780,3
702765,3
1353,3
1005,3
704530,2
832,2
704315,2
1200,2
920,2
673,2
921,2
1265,2
655,2
594,2
702721,2
717597,2
704,2
1298,2
838,2
704325,2
703139,2
1043,2
1103,2
797,2
829,2
867,2
651,2
912,2
631,2
702871,2
812,2
1092,2
703685,2
646,2
905,2
685,2
702715,2
649,2
843,2
697,2
702864,2
902,2
735,2
807,2
705320,2
703857,2
702774,2
703420,2
1035,2
623,2
608,2
661,2
756475,2
1294,2
979,2
924,2
1357,2
1327,2
595,2
692,1
1547,1
988731,1
1343,1
918,1
717580,1
988488,1
703240,1
704199,1
1160,1
1018,1
989685,1
724935,1
1361,1
1084,1
995886,1
1088,1
764329,1
703445,1
954504,1
624,1
1119,1
1330,1
1078,1
953,1
987,1
999,1
1126,1
740328,1
702731,1
776827,1
1150,1
696,1
702764,1
703876,1
717585,1
938,1
1063,1
997118,1
888,1
678,1
702776,1
985,1
702768,1
704187,1
1513,1
930,1
712661,1
630,1
757377,1
703073,1
1563,1
1214,1
702826,1
1342,1
702709,1
967,1
717583,1
717601,1
1050,1
1143,1
705159,1
704054,1
702875,1
613,1
948,1
1040,1
885,1
939,1
1114,1
748004,1
960,1
702843,1
703425,1
748505,1
666,1
915,1
670,1
1478,1
1141,1
793,1
1310,1
596,1
682,1
1118,1
987830,1
703945,1
748725,1
980404,1
703960,1
695,1
980784,1
1577,1
704395,1
906,1
1171,1
729170,1
1146,1
986,1
771885,1
1002371,1
610,1
605,1
1131,1
786,1
703214,1
618,1
975,1
704398,1
1307,1
1393,1
767,1
1056,1
535152,1
758533,1
702722,1
1044,1
805,1
703068,1
997199,1
986925,1
997805,1
703627,1
746,1
1293,1
1292,1
1362,1
775097,1
1019,1
702707,1
600,1
653,1
1318,1
979579,1
702836,1
704326,1
845,1
816,1
916,1
716,1
1002147,1
704544,1
703988,1
773605,1
914,1
635,1
1315,1
719558,1
1098,1
1017,1
817,1
1552,1
778,1
703162,1
784,1
703442,1
704040,1
701,1
1177,1
933,1
943,1
978784,1
926,1
