author_id,slot_count
629,14
809,14
652,13
715,10
963,8
797,7
647,7
659,7
608,6
1327,6
1419,6
1126,6
954,6
703150,5
702765,5
1005,5
601,5
848,5
614,5
836,5
626,5
1253,5
1330,5
705159,4
637,4
602,4
770,4
967,4
625,4
1078,4
1116,4
1346,4
1512,4
1092,4
673,4
703337,4
705320,4
748,4
1103,4
702,4
719,4
1475,4
823,4
643,4
1294,4
1379,4
927,4
1050,4
1251,4
702736,3
695,3
1314,3
702766,3
704,3
902,3
1579,3
813,3
666,3
657,3
1513,3
867,3
702731,3
784,3
702864,3
1526,3
835,3
621,3
1321,3
1119,3
714,3
771,3
720,3
856,3
702710,3
873,2
702768,2
707,2
802,2
1402,2
1351,2
1443,2
712661,2
1167,2
630,2
1301,2
703073,2
756,2
807,2
717583,2
762,2
705332,2
1426,2
1133,2
726,2
998,2
739313,2
702843,2
1043,2
929,2
1113,2
748505,2
703178,2
915,2
702858,2
1478,2
1601,2
957,2
1260,2
705510,2
682,2
697,2
987830,2
768,2
748725,2
879,2
702708,2
912,2
1577,2
1578,2
667,2
1154,2
981,2
782,2
786,2
704398,2
1071,2
976,2
641,2
790,2
1024,2
905,2
593,2
774,2
822,2
1357,2
718,2
703627,2
645,2
1292,2
679,2
702738,2
1561,2
703152,2
735,2
702774,2
1188,2
1104,2
1370,2
763,2
1212,2
1421,2
1456,2
808,2
617,2
1347,2
803,2
1343,2
980164,2
717580,2
832,2
1160,2
1200,2
749,2
728,2
703740,2
1088,2
1014,2
624,2
1528,2
740328,2
1349,2
997118,2
987564,2
651,2
1128,1
1171,1
660,1
743,1
1431,1
634,1
1318,1
1155,1
1226,1
704326,1
702836,1
1214,1
1003,1
759,1
845,1
693,1
1334,1
1110,1
1441,1
1089,1
606,1
1057,1
675,1
669,1
1303,1
1017,1
747431,1
591,1
665,1
1102,1
1529,1
984,1
939,1
1525,1
1505,1
702715,1
1286,1
715999,1
1336,1
1034,1
594,1
590,1
631,1
1312,1
704188,1
1221,1
959,1
685,1
1386,1
843,1
595,1
798,1
674,1
855,1
988731,1
1191,1
1173,1
703879,1
1451,1
1501,1
918,1
1046,1
917,1
1281,1
930,1
776827,1
825,1
1227,1
1265,1
837,1
1049,1
1582,1
702721,1
747,1
703068,1
842,1
1063,1
815,1
661,1
1054,1
777,1
975,1
896,1
924,1
1298,1
605,1
1345,1
839,1
922,1
846,1
671,1
715355,1
931,1
945,1
1442,1
928,1
662,1
1099,1
1485,1
788,1
1008,1
1460,1
1406,1
1217,1
883,1
1353,1
1392,1
925,1
1430,1
1026,1
1066,1
