author_id,score
777,13.35824587327587732729962018133253591542250350585443086632360332901586007214588267909739645453224425059639410630308877060237670637224078250000
927,6.2956768730795345588313227402752356673530277113987539277078262636354404981453525334414657219343323464913423330843795478759406307238180303571
1088,5.25031197567691051145762463041850006283707392813782990996690556554772678426420637414916153152325364079413810126581091158509255326460722278125
629,4.38864843805032021401648503411518039264775667171648459168710298079868610038950367854399055141851205116265165133320073608426101032924968218750
959,4.35788749667556146918851382421392109925278599802952834700007199120351242136977919412080828212697377575228408756355227308704224948103113475000
771,2.39571623014450939505699236832312677563059792781022511767916643371413513756264519587236878306871654482795588295302898282141088708107018400000
849,1.8956107622878583048358436767676686907734124932197116546476057568569338156090155029648191973937900023103229555005864067258623550495512200000
637,1.11052088236441581575683135075909640631674003346994132539589840348390761399550639553119994988256083346727695286179427238846584249174842050000
774,0.85236469267943840246657754702127348655160913013988742980973698879829991011072907836558078150901318274587039195528853255222897958274736093750
1315,0.83551134707650501727711826406449440891832852009368864130493010328168313853788423506924084420532972719709873108700687408401039964570989500000
