slot,avg_ov,ov,rb_ov
1,0.35341269841269846,0.6,0.19811817956349204
2,0.19079365079365077,0.2,0.06998387896825398
3,0.13067460317460317,0.2,0.02671285962301587
4,0.10956349206349207,0.1,0.026398189484126984
5,0.1928968253968254,0.1,0.19306485615079363
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.21912698412698414,0.2,0.05279637896825397
10,0.35035714285714287,0.3,0.22138206845238095
11,0.1928968253968254,0.1,0.19306485615079363
12,0.2857936507936508,0.2,0.1361297123015873
13,0.3028968253968254,0.2,0.6931625124007935
14,0.5098015873015873,0.5,0.32960689484126987
15,0.48579365079365083,0.2,0.8861297123015874
16,0.1928968253968254,0.1,0.19306485615079363
17,0.46940476190476177,0.3,0.7619326636904762
18,0.23650793650793647,0.3,0.19396546378968255
19,0.0,0.0,0.0
20,0.38781746031746034,0.5,0.08719928075396825
21,0.47702380952380946,0.4,0.7240838913690475
22,0.15746031746031747,0.2,0.028317212301587298
23,0.40246031746031746,0.2,0.7194630456349207
24,0.37857142857142856,0.3,0.6979027157738095
25,0.12928571428571428,0.4,0.005738467261904762
26,0.3357936507936508,0.2,0.26112971230158727
27,0.5703571428571428,0.3,0.8969029017857143
28,0.2274603174603175,0.2,0.07883804563492064
29,0.1428968253968254,0.1,0.06806485615079365
30,0.19023809523809523,0.3,0.021861049107142858
31,0.2524603174603175,0.2,0.09446304563492063
32,0.021111111111111112,0.1,3.1467013888888886E-4
33,0.40535714285714286,0.3,0.6995070684523809
34,0.10956349206349207,0.1,0.026398189484126984
35,0.06456349206349207,0.1,0.004523189484126984
36,0.3357936507936508,0.2,0.26112971230158727
37,0.3574603174603175,0.2,0.6975880456349207
38,0.0,0.0,0.0
39,0.2928968253968254,0.1,0.6930648561507935
40,0.2928968253968254,0.1,0.6930648561507935
41,0.047896825396825396,0.1,0.0019190228174603176
42,0.3357936507936508,0.2,0.26112971230158727
43,0.2928968253968254,0.1,0.6930648561507935
44,0.10956349206349207,0.1,0.026398189484126984
45,0.06456349206349207,0.1,0.004523189484126984
46,0.1928968253968254,0.1,0.19306485615079363
47,0.33369047619047615,0.3,0.1380487351190476
48,0.021111111111111112,0.1,3.1467013888888886E-4
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.3140079365079365,0.2,0.6933795262896825
52,0.46690476190476193,0.4,0.7615420386904762
53,0.40813492063492063,0.4,0.23055090525793648
54,0.03361111111111111,0.1,8.029513888888889E-4
55,0.44202380952380943,0.3,0.7083612351190475
56,0.0,0.0,0.0
57,0.1057936507936508,0.3,0.003935701884920635
58,0.3831349206349206,0.4,0.1211759052579365
59,0.5330952380952381,0.6,0.2374813988095238
60,0.11956349206349207,0.2,0.026495845734126982
61,0.14067460317460317,0.3,0.02681051587301587
62,0.03361111111111111,0.1,8.029513888888889E-4
63,0.4571825396825397,0.4,0.7205806671626984
64,0.06456349206349207,0.1,0.004523189484126984
65,0.0790079365079365,0.3,0.002331349206349206
