author_id,score
629,0.7341732085125007455580793311198367631043117495495782903093017591844058242867570263291844079616
659,0.2572844947038981102135565002089728344674589363618083677324721100555869984530725203105989087232
652,0.1585255394833729036258598743452776812489192786515688406642475695895987944987691086482024865792
1160,0.0249296508678376618102567986171625410843128414933283715785268604731771079224208398076490248192
1104,0.0175935094430655470397024139377782622515050151506646765813397163972843802698909848686496837632
1116,0.0135148526159576776636535572633356916048902442295533375826888446842367063594272169745813368832
1014,0.0114385052487677675319000521643252545448691066277222694180785123145792014542407224322063564800
842,0.0096168891388162116333251862228185401625337046231728039689641183606347217023840833355668099072
809,0.0094236503476626256583002109894146734619307805379250793828744560425874505542404108471220375552
850,0.0093288768560262593871554453256974936124846066896024088620438165173120749754042008932173770752
