author_id,score
984,0.0268006376018264046956239261075855835966285703105854287089531611156269710956435844265238353894371612413767789756846692310637387695750419982875079378832719872
931,0.0081482095387149230734481235621354090390104269675032211893115833913548359820342705147039743203481619897229483841116568944050879677179076947268954325294628160
967,0.0064740992914075020975549261075855835966285703105854287089531611156269710956435844265238353894371612413767789756846692310637387695750419982875079378832719872
871,0.0063190732821319133620360069107303828741536518670748438579819053785812778095801047270954823351163112845663055989543788195509705184371941636085448393362632640
1464,0.0056066105428770515083954187525952878737076272866873638044352183266827038660772928623764768048390033216107451052861378758480513537315948745276326884364490560
998,0.0055661553544061453204919261075855835966285703105854287089531611156269710956435844265238353894371612413767789756846692310637387695750419982875079378832719872
898,0.0051494501407017592962768500189434041988758253414014084583419399551498335874804159866916763528893234784856996509892002182132669061346579502681905854420024640
846,0.0051044817304459957917354485091711295070197212724366549975780426885651553054634252184799591215763837030974011322023304333395322584855839549894911646631598400
979,0.0041294986791559077747014165749835698835996329417769208847285293782056424470072878785434415634882978649719891859161113805265597531091018558562190994140354880
934,0.0041099627973189934857449261075855835966285703105854287089531611156269710956435844265238353894371612413767789756846692310637387695750419982875079378832719872
